,Unnamed: 0,post_title_texts,post_prices,sqfts,post_links,bedroom_counts,post_hoods,post_timing,No_of_bathrooms,No_of_bedrooms,latitude,longitude,pet,laundry,parking,floor,Apartment_type,smoking
0,0,👉 Experience The Virtual Tours at The Piazza,3045,1002.0,https://philadelphia.craigslist.org/apa/d/philadelphia-experience-the-virtual/7279368466.html,2.0, (1050 N Hancock St - Northern Liberties),2021-02-18 17:22, 2Ba,2BR ,39.969515,-75.139578,both pets,in unit,no,nan,multi,nan
1,1,Spacious 1 bedroom apartment,1000,,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-bedroom-apartment/7279395713.html,1.0, (South Philadelphia),2021-02-18 17:19, 1Ba,1BR ,39.9207,-75.1595,no pet,in unit,off-street,wood,multi,nan
2,2,"Stainless GE Appliances, Wood Floors, Rooftop Pool, Sky Lounge",2487,,https://philadelphia.craigslist.org/apa/d/philadelphia-stainless-ge-appliances/7279397429.html,1.0, (Philadelphia),2021-02-18 17:19, 1Ba,1BR ,39.9597,-75.2024,no pet,in unit,no,nan,multi,nan
3,3,"Loft Apartment with Maple Hardwood floors, Exposed Brick & Beams",1690,1100.0,https://philadelphia.craigslist.org/apa/d/philadelphia-loft-apartment-with-maple/7275304608.html,1.0, (Old City),2021-02-18 17:18, 1Ba,1BR ,39.9483,-75.1433,no pet,in unit,no,wood,multi,nan
4,4,"PRICE IMPROVEMENT! Spacious 1BR w/ H/W Flrs, Deck, Eat-In Kitchen",1100,,https://philadelphia.craigslist.org/apa/d/philadelphia-price-improvement-spacious/7279396175.html,1.0," (2636 Poplar St #2, Fairmount)",2021-02-18 17:16, 1Ba,1BR ,39.972642,-75.179142,both pets,no laundry,no,wood,multi,no smoking
5,5,"Guest Suites, Lobby Lounge, Granite Countertops",2610,845.0,https://philadelphia.craigslist.org/apa/d/philadelphia-guest-suites-lobby-lounge/7271720901.html,2.0," (1401 Arch Street, Philadelphia, PA)",2021-02-18 17:16, 2Ba,2BR ,39.954424,-75.163215,both pets,in unit,no,nan,multi,no smoking
6,6,February Special: Waived App Fees + Reduced Deposit 2 BR,1222,,https://philadelphia.craigslist.org/apa/d/coatesville-february-special-waived-app/7265948703.html,2.0, (Coatesville),2021-02-18 17:14, 1Ba,2BR ,39.987611,-75.818503,both pets,on site,off-street,nan,multi,nan
7,7,1 Bedroom Apartment - Early Reservation thru Aug 2021,2059,698.0,https://philadelphia.craigslist.org/apa/d/philadelphia-bedroom-apartment-early/7275157989.html,1.0, (University City),2021-02-18 17:11, 1Ba,1BR ,39.95618,-75.194152,both pets,on site,protected,nan,multi,nan
8,8,"Penthouse, Elevator, Spacious Floorplans",1665,447.0,https://philadelphia.craigslist.org/apa/d/philadelphia-penthouse-elevator/7279393141.html,," (1401 Arch Street, Philadelphia, PA)",2021-02-18 17:10, 1Ba,0BR ,39.954424,-75.163215,both pets,in unit,no,nan,multi,no smoking
9,9,Bright Two Bedroom Apt at 10th and Pine w/Rooftop Deck!,1472,,https://philadelphia.craigslist.org/apa/d/philadelphia-bright-two-bedroom-apt-at/7274921565.html,2.0, (Washington Square West),2021-02-18 17:10, 1Ba,2BR ,39.944711,-75.158214,cats,on site,no,nan,multi,nan
10,10,This Will Freak Your Freak!,1095,,https://philadelphia.craigslist.org/apa/d/brookhaven-this-will-freak-your-freak/7272498315.html,1.0, (Brookhaven),2021-02-18 17:08, 1Ba,1BR ,39.8654,-75.3885,no pet,on site,off-street,nan,multi,nan
