,post_title_texts,post_prices,sqfts,post_links,bedroom_counts,post_hoods,post_timing,No_of_bathrooms,latitude,longitude,pet,laundry,parking,Apartment_type
0,AMENITY RICH TRUE 1BR: ROOF TOP - SCREENING RM - SAUNA - DRM - NO FEE,2842.0,717.6746411483253,https://newyork.craigslist.org/mnh/apa/d/new-york-amenity-rich-true-1br-roof-top/7279382848.html,1.0, (Financial District),2021-02-18 16:47,1.5,40.7056,-74.0083,both pets,on site,no,multi
1,"Studios for rent in Queens ""great locations and prices""",1400.0,497.9347826086956,https://newyork.craigslist.org/que/apa/d/jamaica-studios-for-rent-in-queens/7279382017.html,0.0, (Briarwood),2021-02-18 16:45,1.0,40.7029,-73.8111,no pet,on site,off-street,multi
2,Apartment Available March 1st,1100.0,717.6746411483253,https://newyork.craigslist.org/fct/apa/d/stratford-apartment-available-march-1st/7279381923.html,1.0, (Stratford),2021-02-18 16:45,1.0,41.216,-73.1304,no pet,no laundry,protected,multi
3,Best deal of the Morgan L for a 2 bed! Laundromat next door!,1850.0,922.3730569948186,https://newyork.craigslist.org/brk/apa/d/brooklyn-best-deal-of-the-morgan-for-2/7279381197.html,2.0, (Bushwick),2021-02-18 16:44,1.5,40.701141,-73.930543,both pets,no laundry,no,multi
5,LUX LIVING: AMENITY RICH BLDG - ROOFTOP - SCREENING RM - SAUNA - DRM,2084.0,922.3730569948186,https://newyork.craigslist.org/mnh/apa/d/new-york-lux-living-amenity-rich-bldg/7279377640.html,2.0, (Financial District),2021-02-18 16:37,1.0,40.7056,-74.0083,no pet,on site,no,multi
6,2 Bedrooms,2100.0,922.3730569948186,https://newyork.craigslist.org/que/apa/d/astoria-bedrooms/7279377439.html,2.0, (Astoria),2021-02-18 16:37,1.0,40.7754,-73.909,both pets,on site,off-street,multi
8,1 br apt for rent brooklyn,1600.0,717.6746411483253,https://newyork.craigslist.org/brk/apa/d/brooklyn-br-apt-for-rent-brooklyn/7279375468.html,1.0, (georgetown),2021-02-18 16:33,1.0,40.614035,-73.903457,no pet,no laundry,no,multi
9,True 2 bed + Office and balcony in Elevator Bldg!,2100.0,922.3730569948186,https://newyork.craigslist.org/brk/apa/d/brooklyn-true-bed-office-and-balcony-in/7279375023.html,2.0, (☃ Bushwick ☃),2021-02-18 16:32,1.0,40.689275,-73.923979,both pets,on site,no,multi
10,Studio,950.0,280.0,https://newyork.craigslist.org/brx/apa/d/bronx-studio/7279374350.html,0.0, (Riverdale),2021-02-18 16:31,1.0,40.9011,-73.9053,no pet,no laundry,no,multi
11,"Cute, clean, charming 1-bedroom apartment  available",675.0,717.6746411483253,https://newyork.craigslist.org/brk/apa/d/brooklyn-cute-clean-charming-bedroom/7279373830.html,1.0, (brooklyn),2021-02-18 16:30,1.0,40.6924,-73.9666,both pets,on site,off-street,multi
